"Ticker","Nome","Negócios","Última (R$)","Variação"
"BEES3","Banestes","7.900","8,20","+0,61%"
"CGRA4","Grazziotin","7.400","26,53","-0,49%"
"MTSA4","Metisa","6.200","45,34","-0,57%"
"PDTC3","Padtec","5.800","1,38","+1,47%"
"PLAS3","Plascar","5.600","5,14","-1,72%"
"INEP4","Inepar","5.600","1,12","-0,88%"
"ALUP3","Alupar","5.200","11,96","+1,18%"
"COCE5","Coelce","4.700","34,10","-0,87%"
"ENGI4","Energisa","4.600","8,63","-0,35%"
"BPAC5","Banco BTG Pactual","4.500","10,70","-0,93%"
"CEBR6","CEB","4.000","29,35","+1,21%"
"TRAD3","Traders Club","3.900","3,74","+1,08%"
"HAGA3","Haga","3.900","1,80","+5,26%"
"OFSA3","Ourofino Saúde Animal","3.800","24,50","+4,52%"
"NUTR3","Nutriplant","3.700","2,70","+1,12%"
"MERC4","Mercantil do Brasil Financeira","3.400","13,75","+11,07%"
"BSLI3","Banco de Brasília","3.400","6,79","-0,15%"
"CLSC4","Celesc","3.300","132,98","+0,74%"
"ALPA3","Alpargatas","3.300","10,34","-2,36%"
"ALUP4","Alupar","3.200","10,38","-0,38%"
"CRPG5","Tronox Pigmentos","2.900","19,20","-0,52%"
"WHRL3","Whirlpool","2.900","4,32","+1,41%"
"EMAE4","EMAE","2.700","42,80","+1,90%"
"LUXM4","Trevisa","2.600","4,11","-2,14%"
"PINE11","Banco Pine","2.400","23,61","+2,65%"
"CTAX3","Contax","2.400","0,96","+5,49%"
"NGRD3","Neogrid","2.300","27,73","+0,11%"
"MSPA3","Melhoramentos","2.200","47,00","+1,08%"
"BEES4","Banestes","2.100","8,17","-0,97%"
"BOBR4","Bombril","2.100","1,26","+5,00%"
"CEBR3","CEB","2.000","27,59","-4,03%"
"ENGI3","Energisa","1.900","12,22","+0,00%"
"ISAE3","ISA Energia","1.800","34,22","+0,06%"
"MNDL3","Mundial","1.800","15,79","+2,60%"
"BSLI4","Banco de Brasília","1.800","7,41","+2,35%"
"BAZA3","Banco da Amazônia","1.700","76,22","-0,05%"
"OIBR4","Oi","1.600","1,22","+0,00%"
"BPAC3","Banco BTG Pactual","1.500","38,99","-0,41%"
"AFLT3","Afluente T","1.500","7,31","+0,14%"
"MOAR3","Monteiro Aranha","1.400","58,12","-0,14%"
"MSPA4","Melhoramentos","1.400","41,00","+3,80%"
"MGEL4","Mangels","1.400","6,07","+1,17%"
"EKTR4","Elektro","1.200","38,45","-3,88%"
"EQPA3","Equatorial Energia Pará","1.100","6,08","-1,94%"
"DOHL4","Döhler","1.100","3,68","-0,27%"
"JFEN3","João Fortes","1.100","0,99","+0,00%"
"SNSY5","Sansuy","1.000","2,95","-1,34%"
"BGIP4","Banese","800","36,69","-0,27%"
"RVEE3","REVEE","800","2,00","-14,53%"
"RVEE3","REVEE S.A.","800","2,00","-14,53%"
"HAGA4","Haga","800","1,10","+1,85%"
"CGRA3","Grazziotin","700","26,75","+0,00%"
"ARND3","Arandu","700","0,88","-12,00%"
"BMEB3","Banco Mercantil do Brasil","500","47,50","+2,30%"
"EALT3","Electro Aço Altona","500","14,50","+0,00%"
"WEST3","Westwing","500","5,34","-1,11%"
"RSID3","Rossi Residencial","500","1,80","+5,88%"
"BNBR3","Banco do Nordeste","400","116,00","+0,00%"
"GEPA4","Rio Paranapanema Energia","400","33,00","+0,00%"
"BALM4","Baumer","400","18,38","+0,99%"
"CTSA4","Santanense","400","2,12","-0,47%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","400","2,03","-3,33%"
"CGAS5","Comgás","300","133,78","-0,16%"
"RSUL4","Metalúrgica Riosulense","300","62,89","+0,61%"
"CEEB3","COELBA","300","44,30","-0,45%"
"WLMM4","WLM","300","20,28","+1,15%"
"CEDO4","Cedro Têxtil","300","9,50","-1,55%"
"PSVM11","PORTO VM","300","4,90","+0,00%"
"NORD3","Nordon","300","3,92","-2,00%"
"OSXB3","OSX Brasil","300","1,92","-1,03%"
"COCE3","Coelce","200","48,00","-1,64%"
"GEPA3","Rio Paranapanema Energia","200","33,00","+0,00%"
"EUCA3","Eucatex","200","20,05","+0,00%"
"FIEI3","Fica","200","14,37","-0,14%"
"IGTI4","Iguatemi","200","11,90","-0,08%"
"IGTI4","Jereissati Participações","200","11,90","-0,08%"
"CBEE3","Ampla Energia","200","10,98","+12,50%"
"BDLL3","Bardella","200","7,60","-1,30%"
"NEXP3","Brasil Brokers","200","2,89","+2,12%"
"TKNO4","Tekno","100","204,50","+0,00%"
"CGAS3","Comgás","100","126,90","+0,00%"
"CEGR3","Naturgy (CEG)","100","53,50","-7,76%"
"CTKA4","Karsten","100","41,49","-0,02%"
"PEAB3","Participações Aliança da Bahia","100","40,00","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","100","18,51","+0,49%"
"REDE3","Rede Energia","100","6,20","-0,48%"
"GSHP3","General Shopping & Outlets","100","3,50","-16,67%"
"BMKS3","Monark","66","385,00","-1,27%"
"PPLA11","PPLA","10","0,66","+0,00%"
"HOOT4","Hotéis Othon","7.200","6,58","+1,23%"
"CEBR5","CEB","1.500","27,48","-0,04%"
"RPAD5","Alfa Holdings","1.500","6,36","-9,14%"
"TELB4","Telebras","1.200","7,75","-0,13%"
"BIOM11","Biomm","800","2,80","+1,82%"
"RPMG3","Refinaria de Manguinhos","800","2,10","+0,48%"
"BGIP3","Banese","200","42,75","+2,79%"
"FESA3","Ferbasa","200","12,05","+2,90%"
"BAUH4","Excelsior","100","92,02","-1,37%"
"UNIP5","Unipar","100","60,29","-2,76%"
"ENMT3","Energisa MT","100","50,79","-0,20%"
"PATI3","Panatlântica","100","29,01","+0,03%"
"CRPG6","Tronox Pigmentos","100","18,98","+2,65%"
"DTCY3","Dtcom","100","2,95","+0,00%"
"FRIO3","Metalfrio","700","210,00","+0,00%"
"MAPT4","Cemepe","400","3,50","+0,00%"
"CTSA3","Santanense","200","2,32","+2,65%"
"CLSC3","Celesc","100","116,00","+0,00%"
"EQMA3B","Equatorial Maranhão","100","30,09","-0,20%"
"BRKM6","Braskem","100","8,59","+7,38%"
"CEEB5","COELBA","500","36,69","-5,92%"
"SOND3","Sondotécnica","100","38,66","-19,46%"
"CALI3","Adolpho Lindenberg","100","17,25","+7,48%"
"CEDO3","Cedro Têxtil","100","13,99","-0,07%"
"SNSY3","Sansuy","100","11,00","+0,00%"
"TELB3","Telebras","100","10,83","+0,28%"
"MWET4","Wetzel","100","8,39","-7,09%"
"RPAD6","Alfa Holdings","100","4,21","-6,44%"
"CALI11","CALI11","100","4,00","+7,53%"
"PEAB4","Participações Aliança da Bahia","1.000","38,20","+0,00%"
"HBTS5","Habitasul","200","31,91","+0,98%"
"ENMT4","Energisa MT","100","50,51","+0,00%"
"BDLL4","Bardella","100","6,60","+6,45%"
"PATI4","Panatlântica","100","31,00","-6,03%"
"HETA4","Hercules","100","5,30","+6,00%"
"MAPT3","Cemepe","100","3,00","+0,00%"
"WLMM3","WLM","100","19,62","-3,82%"
"EQPA5","Equatorial Energia Pará","1.500","17,00","+0,00%"
"RPAD3","Alfa Holdings","200","5,30","+0,00%"
"CEED3","CEEE D","100","8,95","+0,00%"
"TKNO3","Tekno","100","207,00","+0,00%"
"ESTR3","Estrela","100","3,01","-39,80%"
